Rk,Player,Nation,Pos,Squad,Age,Born,90s?,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
310,Andriy Yarmolenko,ua UKR,"MF,FW",West Ham,29,1989,11,5,26,12,46.2,2.36,1.09,0.19,0.42,17.5,2,0,0,2.1,2.1,0.08,2.9,2.9
311,Tom Cleverley,eng ENG,MF,Watford,29,1989,10.8,1,17,5,29.4,1.58,0.46,0.06,0.2,16.9,0,0,0,1.6,1.6,0.09,-0.6,-0.6
312,Simon Francis,eng ENG,DF,Bournemouth,34,1985,10.8,0,3,0,0,0.28,0,0,,12.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
313,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,22,1996,10.7,5,34,18,52.9,3.19,1.69,0.15,0.28,15.1,0,0,0,4.8,4.8,0.14,0.2,0.2
314,Ashley Young,eng ENG,DF,Manchester Utd,34,1985,10.6,0,3,0,0,0.28,0,0,,20.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
315,Sander Berge,no NOR,MF,Sheffield Utd,21,1998,10.5,1,5,2,40,0.48,0.19,0.2,0.5,13,0,0,0,0.5,0.5,0.09,0.5,0.5
316,Mbwana Samatta,tz TAN,FW,Aston Villa,26,1992,10.5,1,17,3,17.6,1.62,0.29,0.06,0.33,10.1,0,0,0,1.9,1.9,0.11,-0.9,-0.9
317,Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,26,1992,10.4,1,22,6,27.3,2.12,0.58,0.05,0.17,17.9,0,0,0,2.7,2.7,0.12,-1.7,-1.7
318,Arthur Masuaku,cd COD,DF,West Ham,25,1993,10.4,0,5,2,40,0.48,0.19,0,0,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
319,James Milner,eng ENG,"MF,DF",Liverpool,33,1986,10.4,2,10,1,10,0.96,0.1,0,0,24.7,0,2,2,2.1,0.6,0.06,-0.1,-0.6
320,Pedro Neto,pt POR,"FW,MF",Wolves,19,2000,10.4,3,17,6,35.3,1.63,0.58,0.18,0.5,16.4,0,0,0,2,2,0.12,1,1
321,DeAndre Yedlin,us USA,DF,Newcastle Utd,26,1993,10.4,1,1,1,100,0.1,0.1,1,1,4.1,0,0,0,0.7,0.7,0.68,0.3,0.3
322,Nathaniel Chalobah,eng ENG,MF,Watford,24,1994,10.3,0,9,0,0,0.87,0,0,,21.6,2,0,0,0.4,0.4,0.05,-0.4,-0.4
323,Moussa Djenepo,ml MLI,"MF,DF",Southampton,21,1998,10.3,2,20,7,35,1.94,0.68,0.1,0.29,17.4,0,0,0,2.7,2.7,0.14,-0.7,-0.7
324,Mamadou Sakho,fr FRA,DF,Crystal Palace,29,1990,10.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
325,Jarrod Bowen,eng ENG,FW,West Ham,22,1996,10.2,1,24,7,29.2,2.36,0.69,0.04,0.14,17.9,0,0,0,1.7,1.7,0.07,-0.7,-0.7
326,Chris Mepham,wls WAL,DF,Bournemouth,21,1997,10.1,1,6,1,16.7,0.59,0.1,0.17,1,8.6,0,0,0,0.7,0.7,0.11,0.3,0.3
